Matrix Size,Time (ms)
8x8,0.0602112
16x16,0.0882688
32x32,0.0479808
64x64,0.0940032
128x128,0.171418
256x256,0.542989
512x512,2.09414
1024x1024,3.75985
2048x2048,9.51347
4096x4096,19.9661
8192x8192,86.7674
16384x16384,556.663
